firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,tot_white,tot_black,tot_api,tot_aian,tot_2prace,tot_hispanic,white_pct,black_pct,api_pct,aian_pct,mult_pct,hisp_pct
AARON,3646,0.0288,0.9160699999999999,0.032639999999999995,5.5e-4,5.5e-4,0.0013700000000000001,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,0.0015232124981849869,0.0010626774531398517,4.52953316952429e-4,4.52953316952429e-4,0.0012090214851745867,5.733185845770476e-4
ABBAS,59,0,0.71186,0.0339,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.9154100916624544e-5,1.786020180274967e-5,0,0,0,0
ABBEY,57,0,0.96491,0.035089999999999996,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.5082847188607137e-5,1.7860469692382232e-5,0,0,0,0
ABBIE,74,0.01351,0.95946,0.02703,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.2379770237729543e-5,1.786127336127991e-5,0,0,0,5.458507818166956e-6
ABBY,262,0.015269999999999999,0.9465600000000001,0.015269999999999999,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.1310052181450918e-4,3.572522561888541e-5,0,0,0,2.184374994343856e-5
ABDUL,221,0.00452,0.44344,0.06787,0.00452,0.00452,0.00452,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,4.469328826353271e-5,1.3393829763208294e-4,2.2563413323199537e-4,2.2563413323199537e-4,2.4178396522348217e-4,5.454030677699537e-6
ABDULLAH,44,0.02273,0.6590900000000001,0.09090999999999999,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.3225514263137703e-5,3.571897486079236e-5,0,0,0,5.460582590578687e-6
ABE,31,0.06452,0.7741899999999999,0.12903,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.0945218114395187e-5,3.571799259880631e-5,0,0,0,1.0920509989869458e-5
ABEL,327,0.82569,0.12844,0.02141,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.9154164764022843e-5,6.251713566080529e-5,0,0,0,0.00147418383756277
ABELARDO,76,0.78947,0.09211,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.1925340940849105e-6,0,0,0,0,3.2759411517777455e-4
ABHIJIT,34,0,0.17647,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.7363079489951345e-6,0,0,0,0,0
ABHISHEK,18,0,0,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,0,0,0,0,0,0
ABIGAIL,418,0.12201000000000001,0.8157899999999999,0.01435,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.555141204795832e-4,5.3562746099411704e-5,0,0,0,2.784572801507612e-4
ABNER,41,0.39024000000000003,0.34146,0.12195,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,6.384675982723113e-6,4.464782561054859e-5,0,0,0,8.735796480026847e-5
ABRAHAM,413,0.30751,0.47700000000000004,0.07748000000000001,0.014530000000000001,0.014530000000000001,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,8.98428665195535e-5,2.8574215485956676e-4,0.0013554695208530703,0.0013554695208530703,0,6.934196793915889e-4
ABRAM,43,0.09301999999999999,0.81395,0.06977,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.5961781167376785e-5,2.678994551794776e-5,0,0,0,2.1838945207327186e-5
ADA,199,0.30652999999999997,0.53266,0.07035,0.00503,0.00503,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,4.834130057604158e-5,1.250120364821081e-4,2.2609718329919353e-4,2.2609718329919353e-4,0,3.330526775952154e-4
ADALBERTO,69,0.94203,0.057969999999999994,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.824179456335539e-6,0,0,0,0,3.548956631488182e-4
ADAM,4725,0.01989,0.96148,0.00635,8.500000000000001e-4,8.500000000000001e-4,0.00127,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,0.002071844882504484,2.679231187636871e-4,9.071828450656725e-4,9.071828450656725e-4,0.001452453779396559,5.131253419671967e-4
ADAN,146,0.91781,0.05479,0.020550000000000002,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.648121765191674e-6,2.679164215228731e-5,0,0,0,7.316316910860873e-4
